2024-06-17 20:56:55,394 INFO:Starting system metrics collection...
2024-06-17 20:59:38,010 INFO:Collected metrics: {'cpu_usage': 0.0, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40631205, 'bytes_recv': 946265629, 'packets_sent': 235447, 'packets_recv': 676776, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:39,011 INFO:Collected metrics: {'cpu_usage': 0.3, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40632401, 'bytes_recv': 946266113, 'packets_sent': 235453, 'packets_recv': 676780, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:40,012 INFO:Collected metrics: {'cpu_usage': 0.3, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40632401, 'bytes_recv': 946266327, 'packets_sent': 235453, 'packets_recv': 676781, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:41,012 INFO:Collected metrics: {'cpu_usage': 0.0, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40633231, 'bytes_recv': 946267601, 'packets_sent': 235459, 'packets_recv': 676791, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:42,013 INFO:Collected metrics: {'cpu_usage': 0.3, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40633273, 'bytes_recv': 946267661, 'packets_sent': 235460, 'packets_recv': 676792, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:43,014 INFO:Collected metrics: {'cpu_usage': 0.2, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40633273, 'bytes_recv': 946267875, 'packets_sent': 235460, 'packets_recv': 676793, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:44,014 INFO:Collected metrics: {'cpu_usage': 7.3, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40634469, 'bytes_recv': 946268293, 'packets_sent': 235466, 'packets_recv': 676796, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:45,015 INFO:Collected metrics: {'cpu_usage': 1.0, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40634469, 'bytes_recv': 946268573, 'packets_sent': 235466, 'packets_recv': 676798, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:46,016 INFO:Collected metrics: {'cpu_usage': 0.2, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40634767, 'bytes_recv': 946268953, 'packets_sent': 235468, 'packets_recv': 676802, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:47,016 INFO:Collected metrics: {'cpu_usage': 0.3, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40634767, 'bytes_recv': 946268953, 'packets_sent': 235468, 'packets_recv': 676802, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:48,017 INFO:Collected metrics: {'cpu_usage': 0.3, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40634767, 'bytes_recv': 946269167, 'packets_sent': 235468, 'packets_recv': 676803, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:49,018 INFO:Collected metrics: {'cpu_usage': 0.2, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40635365, 'bytes_recv': 946269409, 'packets_sent': 235471, 'packets_recv': 676805, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:50,019 INFO:Collected metrics: {'cpu_usage': 0.5, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40635963, 'bytes_recv': 946269865, 'packets_sent': 235474, 'packets_recv': 676808, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:51,019 INFO:Collected metrics: {'cpu_usage': 0.7, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40638709, 'bytes_recv': 946272089, 'packets_sent': 235492, 'packets_recv': 676824, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:52,020 INFO:Collected metrics: {'cpu_usage': 0.3, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40639291, 'bytes_recv': 946272631, 'packets_sent': 235497, 'packets_recv': 676829, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:53,020 INFO:Collected metrics: {'cpu_usage': 0.3, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40639291, 'bytes_recv': 946272845, 'packets_sent': 235497, 'packets_recv': 676830, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:54,021 INFO:Collected metrics: {'cpu_usage': 0.3, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40639291, 'bytes_recv': 946272845, 'packets_sent': 235497, 'packets_recv': 676830, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:55,022 INFO:Collected metrics: {'cpu_usage': 0.5, 'memory_usage': 12.9, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40640487, 'bytes_recv': 946273329, 'packets_sent': 235503, 'packets_recv': 676834, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:56,023 INFO:Collected metrics: {'cpu_usage': 2.9, 'memory_usage': 13.0, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40641721, 'bytes_recv': 946274345, 'packets_sent': 235512, 'packets_recv': 676842, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:57,023 INFO:Collected metrics: {'cpu_usage': 3.5, 'memory_usage': 13.0, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40641721, 'bytes_recv': 946274345, 'packets_sent': 235512, 'packets_recv': 676842, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:58,024 INFO:Collected metrics: {'cpu_usage': 3.2, 'memory_usage': 13.0, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40641721, 'bytes_recv': 946274559, 'packets_sent': 235512, 'packets_recv': 676843, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 20:59:59,025 INFO:Collected metrics: {'cpu_usage': 1.5, 'memory_usage': 13.0, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40641721, 'bytes_recv': 946274559, 'packets_sent': 235512, 'packets_recv': 676843, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 21:00:00,025 INFO:Collected metrics: {'cpu_usage': 2.3, 'memory_usage': 13.0, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40643733, 'bytes_recv': 946275199, 'packets_sent': 235524, 'packets_recv': 676849, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 21:00:01,026 INFO:Collected metrics: {'cpu_usage': 3.9, 'memory_usage': 13.0, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40648711, 'bytes_recv': 946293111, 'packets_sent': 235556, 'packets_recv': 676882, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 21:00:02,027 INFO:Collected metrics: {'cpu_usage': 4.9, 'memory_usage': 13.1, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40649073, 'bytes_recv': 946293345, 'packets_sent': 235558, 'packets_recv': 676884, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 21:00:03,028 INFO:Collected metrics: {'cpu_usage': 6.0, 'memory_usage': 13.2, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40649073, 'bytes_recv': 946293559, 'packets_sent': 235558, 'packets_recv': 676885, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 21:00:04,028 INFO:Collected metrics: {'cpu_usage': 5.7, 'memory_usage': 13.2, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40649073, 'bytes_recv': 946293559, 'packets_sent': 235558, 'packets_recv': 676885, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 8}}
2024-06-17 21:00:05,029 INFO:Collected metrics: {'cpu_usage': 1.9, 'memory_usage': 13.2, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40649877, 'bytes_recv': 946293917, 'packets_sent': 235564, 'packets_recv': 676888, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 9}}
2024-06-17 21:00:06,030 INFO:Collected metrics: {'cpu_usage': 2.7, 'memory_usage': 13.2, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40654915, 'bytes_recv': 946296133, 'packets_sent': 235576, 'packets_recv': 676902, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:07,030 INFO:Collected metrics: {'cpu_usage': 9.6, 'memory_usage': 13.3, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40656874, 'bytes_recv': 946296674, 'packets_sent': 235583, 'packets_recv': 676907, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
2024-06-17 21:00:08,031 INFO:Collected metrics: {'cpu_usage': 2.6, 'memory_usage': 13.3, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40664644, 'bytes_recv': 946314652, 'packets_sent': 235633, 'packets_recv': 676952, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 10}}
